1774950342 | 127.0.0.1:56288 |  | REGISTER oshadha 123
1774950360 | 127.0.0.1:56288 | oshadha | LOGIN oshadha 123
1774950424 | 127.0.0.1:56288 | oshadha | ps aux | grep defunct
1774950438 | 127.0.0.1:56288 | oshadha | 
1774950444 | 127.0.0.1:56288 | oshadha | LOGOUT
1774951313 | 127.0.0.1:42094 | oshadha | LOGIN oshadha 123
1774951343 | 127.0.0.1:42094 | oshadha | LOGIN oshadha 369~/Downloads/FINAL_IE2102_IT24103920
1774951345 | 127.0.0.1:42094 | oshadha | LOGIN oshadha 369
1774951347 | 127.0.0.1:42094 | oshadha | LOGIN oshadha 369
1774951349 | 127.0.0.1:42094 | oshadha | LOGIN oshadha 369
1774951355 | 127.0.0.1:42094 | oshadha | LOGIN oshadha 369
1774951369 | 127.0.0.1:42094 | oshadha | LOGIN oshadha 123
